x,y
802057,692006
1198533,1291338
2126161,1632758
881832,994108
382620,466990
980661,955243
2036526,2383249
623532,545258
1032124,1121474
621096,848906
1010139,736446
1693169,1924725
1333777,1330460
2168825,1644941
1333871,1756154
2482752,3429075
1640393,2031435
1672161,1870209
1783323,2022627
1437990,1437449
1340991,1149274
1712842,1893494
1697322,2068319
1286430,1311152
651737,776714
880179,858429
991796,920060
1164399,1362332
1679861,2101619
2077012,1661344
664723,793236
657768,585447
1790899,1718840
1316073,1285249
426308,674631
587560,529050
694439,689496
839026,1124834
2197785,1227733
992510,1210306
693796,766436
1009804,936369
2742223,2148302
3395603,3262576
715226,850957
1497965,1186696
1418931,1282385
1475867,1674743
1689095,1621429
1073008,1028754
972117,959924
794277,829067
1017829,1062842
1882923,1782113
863093,938093
3387182,3673357
768208,820024
2186852,2463310
1511811,1396343
1975842,2151885
3889284,3878574
1375130,1389702
756077,650553
1732658,1641370
2674627,2075586
1533090,1529579
1912596,1807930
708810,832679
966157,882843
1193140,1018186
1137003,1046474
4013696,4333337
874384,713677
1131661,1040691
1819037,1968773
984508,532356
553311,483683
1949121,2104062
575212,475726
1979015,2108031
493756,595083
1226692,1145070
2011404,1931660
822743,768157
1041411,1107330
1354288,1276574
1150442,436799
1879014,1848667
2177683,1550403
1446382,1436564
1383385,1407149
1247649,1309080
704659,731273
585432,501903
1026158,947700
1605441,1601748
1664486,1875211
746178,1062773
1802789,1949177
1697986,1916176
1422225,1317118
1176748,1288914
2970953,2632175
2322406,1757847
3274181,3365413
477482,481343
1283004,1060180
2160535,2337857
612267,525349
1959156,1901133
957916,1061826
1936236,1519391
3522173,3763017
1703299,1620729
378969,386098
1009115,749617
1964719,2089496
735154,694872
1697373,1350901
2603702,2015284
660797,1175314
436105,488583
723670,615885
2394828,2449252
1090454,1202494
764659,1341855
966142,671312
1227187,876608
1935024,1868543
1484812,1438582
2653691,2053337
1553489,1803405
2983897,3449482
1938944,2124532
1904045,1799519
1223424,1187736
2183893,2005903
1585381,1589644
2010343,2163763
1948515,1877610
1434352,1409347
841597,861209
1126635,1039306
1477150,1339510
876247,940276
1988148,2179500
1791556,1733601
768317,798234
576790,589975
1624153,1795198
1306776,1397464
505959,623022
671155,547573
805608,695135
998183,1185976
1282562,1361935
1145802,1243706
795392,891960
1144098,1050736
2904945,1953780
4985898,4970366
683335,878275
1818102,1127748
1429963,1453335
1380397,1449379
2480878,2477215
1020440,918735
1586577,1649768
1468397,1463607
1492449,1206520
2816176,2822964
1666201,1858153
3844875,4154457
1263060,1062913
2910507,2784685
5901368,6055787
5829058,6179534
3058237,3517957
2757200,2792160
1467369,1331053
1306450,1222235
2726027,1894049
2941387,3092372
2859042,2855652
918001,927769
1317819,1124279
617634,733575
1983258,1473412
6192557,7070320
1561725,1460384
1971246,1469818
2899526,3292676
1227554,1369328
1019997,1001533
970771,732809
3023879,3448969
3062874,3467011
1756393,1045195
2125927,1549700
2614974,2312472
1405053,1203921
1354107,1333470
1211766,1232594
1054432,522344
1813990,2096798
2793555,2897422
2671447,1546830
2727421,2812981
1711948,1668324
1090674,1037307
1400889,1465358
2708933,2126816
871124,768498
2214461,2518878
1037865,1259558
2872385,3266122
2257238,2550470
1426332,1308974
1402710,1277850
2472732,1674051
2703221,2772752
6325758,4208921
1243624,1072424
1633296,1093471
1138940,1066380
2566794,2134090
2908645,2928796
1599822,1446226
2099548,1414972
4019561,4358976
2496260,2536805
1015115,1055876
1171383,832921
3056203,3392859
1369143,1479044
1608768,1356684
2773926,1847366
1017996,1254810
1048520,874338
3935035,4308438
1304824,952854
1458842,1331282
1165747,1465181
971390,885943
1156566,899187
2888215,2917563
2514870,2008694
2818697,1871097
2117074,2466992
8178762,8407278
3016283,3480002
2846363,2838276
2694775,2153181
2007242,2141825
1684196,1514764
2877908,2910625
3097245,3525284
2430267,1958624
842504,850047
1310128,1346545
1594628,1323740
1963333,1468330
3074394,3508195
2461446,2221012
1027715,850529
749183,752252
3194216,3538526
1499080,1667984
1665010,1732994
1209606,1077850
1488069,1178187
1297536,1534633
2267909,1568774
1444966,1677908
938024,911321
1997435,1474826
2724642,1749124
5372396,4828259
658862,955240
1655299,1072155
1389146,1434019
1411257,1353429
2671875,2398551
1000221,974614
1536032,1708872
1535265,1439162
1310566,1101327
3020217,2811788
1661223,1876229
1211663,1156956
