x,y
2941387,2518000
2859042,2686000
918001,782000
1317819,1083000
617634,900000
1983258,1260000
6192557,6804000
1561725,1580000
1971246,1258000
2899526,3194000
1227554,1286000
1019997,861000
970771,617000
3023879,3323000
3062874,3351000
1756393,1040000
2125927,1324000
2614974,2248000
1405053,1053000
1354107,1157000
1211766,1074000
1054432,913000
1813990,2169000
2793555,2351000
2671447,1769000
2727421,2300000
1711948,1537000
1090674,911000
1400889,1148000
2708933,1756000
871124,986000
2214461,2090000
1037865,1198000
2872385,3169000
2257238,2132000
1426332,1364000
1402710,1226000
2472732,1711000
2703221,2444000
6325758,5565000
1243624,1117000
1633296,1047000
1138940,927000
2566794,1566000
2908645,2747000
1599822,1329000
2099548,1468000
4019561,3906000
2496260,2364000
1015115,901000
1171383,1246000
3056203,3272000
1369143,1171000
1608768,1220000
2773926,1898000
1017996,965000
1048520,1120000
3935035,4342000
1304824,836000
1458842,1075000
1165747,1122000
971390,647000
1156566,948000
2888215,2734000
2514870,1659000
2818697,1924000
2117074,2015000
8178762,10130000
3016283,3350000
2846363,2672000
2694775,1772000
2007242,1899000
1684196,1491000
2877908,2723000
3097245,3395000
2430267,1620000
842504,851000
1310128,1130000
1594628,1099000
1963333,1258000
3074394,3352000
2461446,2153000
1027715,1095000
749183,678000
3194216,2790000
1499080,1705000
1665010,1916000
1209606,1215000
1488069,1018000
1297536,1278000
2267909,2094000
1444966,1398000
938024,851000
1997435,1262000
2724642,2086000
5372396,4895000
658862,764000
1655299,1243000
1389146,1423000
1411257,1325000
2671875,2432000
1000221,843000
1536032,1528000
1535265,1449000
1310566,872000
3020217,2861000
1661223,1636000
1211663,1200000
3783304,3811000
2776562,2543000
5275751,6293000
6238394,5868000
2607553,2467000
3444761,3158000
1344593,1461000
1267858,1394000
2807364,2048000
2766949,2610000
3068534,2892000
909302,932000
1492160,1320000
425271,865000
1610578,1201000
1455263,1633000
7010732,6401000
1602242,1197000
1425444,1236000
3266474,3019000
915396,871000
774978,571000
3400676,3117000
3451976,3148000
1589906,993000
1731616,1254000
2731171,2654000
1227061,766000
1321151,1313000
1340890,978000
1045462,520000
1853955,2007000
2225510,2627000
2628117,2481000
2603443,2473000
1743049,1697000
1458517,1284000
1007605,918000
2286939,1630000
788655,854000
2159444,2141000
860811,1425000
3233353,3003000
2198774,2186000
1438261,1174000
1383896,1084000
2998357,2472000
2356243,1808000
5873912,6308000
1189884,869000
1410958,1193000
1824092,1661000
1052307,954000
3102016,2946000
1558967,1542000
1990860,1504000
3952230,3982000
2677044,2591000
904801,862000
1304557,1071000
3432754,3031000
1357109,1267000
1775480,1242000
2594414,1961000
1392936,1039000
1078409,1048000
4040375,4025000
1023240,717000
1378784,1164000
1245215,1228000
763455,409000
1093184,1030000
3097349,2929000
2124629,1529000
2637931,1992000
2059574,2065000
7342976,9079000
3401009,3157000
3054657,2887000
2272963,1647000
1707580,1745000
2183082,1896000
3093588,2910000
3500763,3178000
2054970,1512000
832794,752000
1437550,1196000
1596894,1195000
1336449,922000
3473552,3177000
2766887,2616000
1073734,961000
855469,777000
3179897,3114000
1378723,1941000
1473802,1834000
1105276,1249000
1199504,824000
1263602,1283000
2411604,2514000
1432922,1458000
965724,685000
1621627,1199000
2838531,2150000
4906919,4170000
664867,639000
1636974,1234000
1354924,1260000
1419957,1344000
2440569,2082000
906538,718000
1450303,1249000
1701252,1404000
1252566,841000
2752102,2426000
1854556,1465000
1117919,934000
3735764,3832000
2949381,2479000
5783128,6263000
5678286,5068000
2766949,2363000
4048460,3007000
1428846,1161000
1474100,1546000
2967561,2111000
2913723,2447000
2797257,2446000
917511,866000
1664494,1376000
467817,1018000
1519156,1190000
8303516,6171000
1491592,1434000
1508662,1188000
3884920,2877000
1153682,1132000
903325,842000
3994810,2984000
714083,583000
4063094,3006000
408861,917000
1644602,1253000
2961461,2594000
1083492,914000
1227868,846000
1291455,1250000
1117025,780000
1826800,1797000
2775426,2278000
2307499,2197000
2758245,2305000
1648089,1388000
1602241,1176000
1001343,951000
2178217,1680000
878781,862000
2132560,2103000
799231,1164000
3848501,2844000
2167410,2149000
1424306,1191000
1209584,1054000
2648245,2170000
2455434,1903000
888981,794000
6499910,4694000
1361759,1082000
2054133,1840000
1038375,967000
2821758,2490000
1443763,1224000
2073146,1497000
3896911,3941000
2441016,2189000
939643,857000
1194959,998000
4027806,2958000
1404048,1177000
1601973,1194000
2702018,2053000
1128494,840000
961611,1082000
1358309,1271000
892326,722000
